Record,Date,LOC Time,Temperature_Heat_Exchanger,Temperature_Dryer,Phi_Motor_Position,West_Theta_Motor_Position,East_Theta_Motor_Position,Chosen_Phi_Destination,Chosen_Theta_Destination,Delta_Phi,Delta_Theta,Phi_Destination,Theta_Destination_C,Delta_Theta_Destination
1,05/08/2025,09:06:30,26.00,28.00,16553.00,26123.90,26110.20,0.00,50.00,0.00,0.00,33725.00,21084.00,0.00
2,05/08/2025,09:08:30,26.00,28.00,16553.00,26117.80,26108.70,0.00,50.00,0.00,0.00,33725.00,21084.00,0.00
3,05/08/2025,09:10:30,26.00,28.00,16553.00,26122.60,26108.90,0.00,50.00,0.00,0.00,33725.00,21084.00,0.00
4,05/08/2025,09:12:30,26.00,28.00,16553.00,26138.10,26111.00,0.00,50.00,0.00,0.00,33725.00,21084.00,0.00
5,05/08/2025,09:14:30,26.00,28.00,16550.30,26113.40,26109.00,0.00,50.00,0.00,0.00,33725.00,21084.00,0.00
6,05/08/2025,09:16:30,30.00,29.00,28781.50,16621.00,16569.00,26.34,66.41,0.00,0.00,28769.66,16566.24,0.00
7,05/08/2025,09:18:30,41.00,31.00,28771.00,16621.00,16570.00,26.85,66.31,0.00,0.00,28673.96,16597.33,0.00
8,05/08/2025,09:20:30,51.00,35.00,28689.20,16621.00,16570.00,27.36,66.20,0.00,0.00,28578.15,16628.25,0.00
9,05/08/2025,09:22:30,59.00,38.00,28593.30,16621.00,16569.00,27.87,66.10,0.00,0.00,28482.25,16659.01,0.00
10,05/08/2025,09:24:30,66.00,42.00,28462.20,16621.00,16693.90,28.38,65.99,0.00,0.00,28386.24,16689.61,0.00
11,05/08/2025,09:26:30,72.00,45.00,28327.00,16700.20,16692.90,28.89,65.88,0.00,0.00,28290.13,16720.04,0.00
12,05/08/2025,09:28:30,76.00,48.00,28329.50,17030.60,17059.00,29.41,64.78,0.00,-1.00,28193.91,17038.74,0.00
13,05/08/2025,09:30:30,79.00,51.00,28164.10,17034.30,17057.80,29.92,64.68,0.00,-1.00,28097.59,17068.64,0.00
14,05/08/2025,09:32:30,84.00,54.00,28107.60,17030.00,17058.00,30.43,64.57,0.00,-1.00,28001.17,17098.36,0.00
15,05/08/2025,09:34:30,88.00,56.00,28020.00,17030.00,17059.70,30.94,64.47,0.00,-1.00,27904.64,17127.91,0.00
16,05/08/2025,09:36:30,91.00,59.00,27819.40,17133.00,17059.10,31.46,64.37,0.00,-1.00,27808.01,17157.27,0.00
17,05/08/2025,09:38:30,92.00,60.00,27836.90,17133.00,17133.10,31.97,64.27,0.00,-1.00,27711.27,17186.46,0.00
18,05/08/2025,09:40:30,90.00,62.00,27704.70,17133.00,17133.60,32.49,64.16,0.00,-1.00,27614.42,17215.47,0.00
19,05/08/2025,09:42:30,91.00,63.00,27508.00,17235.00,17213.20,33.00,64.06,0.00,-1.00,27517.47,17244.29,0.00
20,05/08/2025,09:44:30,91.00,64.00,26941.70,17235.00,17212.30,36.52,63.96,3.00,-1.00,26856.12,17272.93,0.00
21,05/08/2025,09:46:30,93.00,65.00,26826.00,17235.00,17212.00,37.03,63.86,3.00,-1.00,26758.96,17301.38,0.00
22,05/08/2025,09:48:30,94.00,66.00,26721.50,17235.00,17295.90,37.55,63.76,3.00,-1.00,26661.68,17329.63,0.00
23,05/08/2025,09:50:30,96.00,67.00,26621.00,17340.40,17294.40,38.07,63.67,3.00,-1.00,26564.31,17357.70,0.00
24,05/08/2025,09:52:30,97.00,68.00,26521.60,17338.00,17294.30,38.59,63.57,3.00,-1.00,26466.83,17385.56,0.00
25,05/08/2025,09:54:30,99.00,70.00,26445.50,17338.00,17385.00,39.11,63.47,3.00,-1.00,26369.24,17413.24,0.00
