Date,Time,O2ref_pct,O2_pct,Air_ratio,Exc_Air_pct,CO2_pct,CO_pct,CO_at_0pctO2_ppm,CO_at_3pctO2_ppm,CO_at_3pctO2_mg_per_Nm3,CO_at_3pctO2_g_per_Nm3,CO_mg_per_Nm3,CH4_pct,CxHy_pct,H2_pct,N2_pct,Net_cal_val_MJ_per_kg,Net_cal_val_MJ_per_m3,Gross_cal_val_MJ_per_kg,Gross_cal_val_MJ_per_m3,T_gas_degC,T_air_degC,Diff_press_Pa,Sample_flow_l_per_h,Current_pump_load_pct,Cooler_degC,T_Hose_degC,In1,In2,In3,In4,AUX_tc_degC,Status,CO_active
24.02.2025,12:12:26,   3.0, 20.20,---,  -100,  1.21,0.0365,     0,     0,     0, 0.000,   456, 0.097, 0.097,  0.00,  78.5,   0.0,   0.0,   0.0,   0.0,---,---,   0.5,  54.6,   100,   4.0,---,---,---,---,---,---,    48,     1
24.02.2025,12:13:26,   3.0, 20.35,---,  -100,  1.01,0.0178,     0,     0,     0, 0.000,   222, 0.089, 0.089,  0.00,  78.5,   0.0,   0.0,   0.0,   0.0,---,---,   0.5,  55.8,   100,   4.0,---,---,---,---,---,---,    48,     1
24.02.2025,12:14:26,   3.0, 20.77,---,---,  0.28,0.0023,     0,     0,     0, 0.000,    28, 0.033, 0.033,  0.00,  78.9,   0.0,   0.0,   0.0,   0.0,---,---,   0.5,  65.7,    41,   4.0,---,---,---,---,---,---,    48,     1
24.02.2025,12:15:26,   3.0, 20.73,---,---,  0.25,0.0017,     0,     0,     0, 0.000,    22, 0.020, 0.020,  0.00,  79.0,   0.0,   0.0,   0.0,   0.0,---,---,   0.5,  56.8,    53,   4.0,---,---,---,---,---,---,    48,     1
24.02.2025,12:16:26,   3.0, 20.54,---,---,  0.63,0.0042,     0,     0,     0, 0.000,    52, 0.059, 0.059,  0.00,  78.8,   0.0,   0.0,   0.0,   0.0,---,---,   0.5,  57.7,    86,   4.0,---,---,---,---,---,---,    48,     1
24.02.2025,12:17:26,   3.0, 20.57,---,---,  0.57,0.0027,     0,     0,     0, 0.000,    33, 0.067, 0.067,  0.00,  78.8,   0.0,   0.0,   0.0,   0.0,---,---,   0.5,  58.8,    99,   4.0,---,---,---,---,---,---,    48,     1
24.02.2025,12:18:26,   3.0, 20.60,---,  -100,  0.50,0.0029,     0,     0,     0, 0.000,    36, 0.069, 0.069,  0.04,  78.8,   0.0,   0.0,   0.0,   0.0,---,---,   0.5,  57.6,   100,   4.0,---,---,---,---,---,---,    48,     1
24.02.2025,12:19:26,   3.0, 14.30,  4.37,   337,  3.66,3.8039, 91523, 78443, 97975,97.975, 47511, 0.494, 0.494,  7.31,  70.4,   1.2,   1.4,   1.3,   1.6,---,---,   0.4,  51.3,   100,   4.0,---,---,---,---,---,---,    48,     1
24.02.2025,12:20:26,   3.0,  3.89,  1.24,    24, 11.08,12.3553,151639,129878,162217,162.217,154317, 1.352, 1.352, 14.41,  56.9,   3.1,   3.6,   3.4,   3.9,---,---,   0.4,  49.8,   100,   4.0,---,---,---,---,---,---,    48,     1
24.02.2025,12:21:26,   3.0,  1.79,  1.09,     9, 13.14,14.0513,153585,131608,164379,164.379,175501, 1.539, 1.539, 15.37,  54.1,   3.4,   4.0,   3.7,   4.3,---,---,   0.4,  47.4,   100,   4.0,---,---,---,---,---,---,    48,     1
24.02.2025,12:22:26,   3.0,  1.47,  1.07,     8, 13.73,14.1782,152420,130645,163175,163.175,177085, 1.596, 1.596, 15.37,  53.7,   3.5,   4.0,   3.8,   4.4,---,---,   0.4,  44.6,   100,   4.0,---,---,---,---,---,---,    48,     1
24.02.2025,12:23:26,   3.0,  1.39,  1.07,     7, 14.40,13.7001,146591,125726,157031,157.031,171114, 1.658, 1.658, 15.18,  53.7,   3.4,   4.0,   3.7,   4.3,---,---,   0.5,  44.3,   100,   4.0,---,---,---,---,---,---,    48,     1
24.02.2025,12:24:26,   3.0,  1.34,  1.07,     7, 14.98,13.3078,142394,121847,152187,152.187,166215, 1.746, 1.746, 15.06,  53.6,   3.3,   3.9,   3.7,   4.3,---,---,   0.5,  43.5,   100,   4.0,---,---,---,---,---,---,    48,     1
24.02.2025,12:25:26,   3.0,  1.25,  1.06,     6, 15.63,12.9091,137098,117605,146889,146.889,161234, 1.880, 1.880, 14.95,  53.4,   3.3,   3.9,   3.6,   4.3,---,---,   0.5,  41.5,   100,   4.0,---,---,---,---,---,---,    48,     1
24.02.2025,12:26:26,   3.0,  1.10,  1.05,     5, 16.32,12.4548,131258,112612,140652,140.652,155561, 2.095, 2.095, 14.83,  53.2,   3.3,   3.9,   3.6,   4.3,---,---,   0.5,  39.4,   100,   4.0,---,---,---,---,---,---,    48,     1
24.02.2025,12:27:26,   3.0,  1.01,  1.05,     5, 16.74,12.1613,127694,109511,136779,136.779,151895, 2.252, 2.252, 14.82,  53.0,   3.3,   3.9,   3.6,   4.3,---,---,   0.4,  39.2,   100,   4.0,---,---,---,---,---,---,    48,     1
24.02.2025,12:28:26,   3.0,  0.95,  1.05,     5, 16.86,11.9249,125212,107012,133658,133.658,148942, 2.294, 2.294, 14.70,  53.3,   3.3,   3.9,   3.6,   4.3,---,---,   0.5,  41.0,   100,   4.0,---,---,---,---,---,---,    48,     1
24.02.2025,12:29:26,   3.0,  0.91,  1.05,     5, 16.85,11.7926,123625,105636,131939,131.939,147289, 2.273, 2.273, 14.70,  53.5,   3.3,   3.9,   3.6,   4.3,---,---,   0.3,  40.7,   100,   4.0,---,---,---,---,---,---,    48,     1
24.02.2025,12:30:26,   3.0,  0.86,  1.04,     4, 16.82,11.9864,124658,107126,133800,133.800,149710, 2.241, 2.241, 14.84,  53.2,   3.3,   3.9,   3.6,   4.3,---,---,   0.4,  40.3,   100,   4.0,---,---,---,---,---,---,    48,     1
