
Date,Time,O2ref_pct,O2_pct,Air_ratio,Exc_Air_pct,CO2_pct,CO_pct,CO_at_0pctO2_ppm,CO_at_3pctO2_ppm,CO_at_3pctO2_mg_per_Nm3,CO_at_3pctO2_g_per_Nm3,CO_mg_per_Nm3,CH4_pct,CxHy_pct,H2_pct,N2_pct,Net_cal_val_MJ_per_kg,Net_cal_val_MJ_per_m3,Gross_cal_val_MJ_per_kg,Gross_cal_val_MJ_per_m3,T_gas_degC,T_air_degC,Diff_press_Pa,Sample_flow_l_per_h,Current_pump_load_pct,Cooler_degC,T_Hose_degC,In1,In2,In3,In4,AUX_tc_degC,Status,CO_active
10.02.2025,14:16:18,3,2.73,1.15,15,11.13,15.7835,181510,155483,194199,194.199,197136,1.622,1.622,14.89,53.8,3.6,4.2,3.9,4.5,---,---,0.4,59.9,76,4,---,---,---,---,---,---,48,1
10.02.2025,14:16:44,3,2.31,1.12,12,11.43,16.1982,182080,156003,194848,194.848,202316,1.651,1.651,15.08,53.3,3.7,4.3,4,4.6,---,---,0.4,59.8,77,4,---,---,---,---,---,---,48,1
10.02.2025,14:17:44,3,1.61,1.08,8,12.02,16.8452,182391,156336,195263,195.263,210397,1.72,1.72,15.42,52.4,3.8,4.4,4.2,4.8,---,---,0.4,59.7,79,4,---,---,---,---,---,---,48,1
10.02.2025,14:18:44,3,1.2,1.06,6,12.55,16.9986,180554,154538,193019,193.019,212313,1.776,1.776,15.6,51.9,3.9,4.5,4.2,4.8,---,---,0.4,59.7,82,4,---,---,---,---,---,---,48,1
10.02.2025,14:19:44,3,1.03,1.05,5,12.87,16.99,178480,153133,191263,191.263,212205,1.764,1.764,15.58,51.8,3.9,4.5,4.2,4.8,---,---,0.4,59.7,85,4,---,---,---,---,---,---,48,1
10.02.2025,14:20:44,3,0.92,1.05,5,13.07,17.022,177994,152523,190501,190.501,212605,1.696,1.696,15.43,51.9,3.8,4.4,4.1,4.8,---,---,0.3,59.5,89,4,---,---,---,---,---,---,48,1
10.02.2025,14:21:44,3,0.86,1.04,4,13.35,16.9807,176599,151708,189483,189.483,212089,1.732,1.732,15.39,51.7,3.8,4.4,4.1,4.8,---,---,0.4,59.7,93,4,---,---,---,---,---,---,48,1
10.02.2025,14:22:44,3,0.81,1.04,4,13.43,17.1643,178509,152988,191082,191.082,214382,1.746,1.746,15.28,51.6,3.8,4.4,4.1,4.8,---,---,0.4,59.8,95,4,---,---,---,---,---,---,48,1
10.02.2025,14:23:44,3,0.8,1.04,4,13.34,17.3381,180316,154455,192915,192.914,216553,1.738,1.738,15.33,51.4,3.9,4.5,4.2,4.8,---,---,0.4,59.7,98,4,---,---,---,---,---,---,48,1
10.02.2025,14:24:44,3,0.77,1.04,4,13.36,17.3507,180447,154353,192787,192.787,216710,1.766,1.766,15.36,51.4,3.9,4.5,4.2,4.9,---,---,0.4,59.5,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:25:44,3,0.73,1.04,4,13.39,17.2931,179706,153537,191767,191.767,215991,1.714,1.714,15.52,51.3,3.9,4.5,4.2,4.8,---,---,0.4,57.6,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:26:44,3,0.65,1.03,3,13.58,16.9145,174220,149579,186825,186.825,211262,1.534,1.534,15.9,51.4,3.8,4.4,4.1,4.8,---,---,0.4,55.5,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:27:44,3,0.56,1.03,3,13.61,17.0978,176107,150520,187999,187.999,213551,1.466,1.466,15.77,51.5,3.8,4.4,4.1,4.8,---,---,0.4,53.8,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:28:44,3,0.54,1.03,3,13.69,16.9936,175034,149429,186637,186.637,212249,1.533,1.533,15.48,51.8,3.8,4.4,4.1,4.7,---,---,0.4,52.5,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:29:44,3,0.5,1.02,2,13.77,16.8332,171979,147791,184591,184.591,210246,1.591,1.591,15.41,51.9,3.8,4.4,4.1,4.7,---,---,0.4,51.5,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:30:44,3,0.49,1.02,2,13.73,16.7652,171005,147113,183745,183.744,209398,1.634,1.634,15.63,51.8,3.8,4.4,4.1,4.8,---,---,0.4,50.4,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:31:44,3,0.47,1.02,2,13.93,16.3054,166315,142928,178517,178.517,203654,1.671,1.671,15.77,51.9,3.8,4.4,4.1,4.7,---,---,0.4,48.8,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:32:44,3,0.48,1.02,2,13.79,16.5559,168871,145223,181383,181.383,206784,1.633,1.633,15.85,51.7,3.8,4.4,4.1,4.8,---,---,0.4,46.6,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:33:44,3,0.55,1.03,3,13.67,16.7774,172612,147660,184428,184.428,209550,1.606,1.606,15.64,51.8,3.8,4.4,4.1,4.8,---,---,0.4,45.9,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:34:44,3,0.62,1.03,3,13.69,16.5187,170143,145892,182219,182.219,206318,1.648,1.648,15.36,52.2,3.7,4.3,4,4.7,---,---,0.3,45.5,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:35:44,3,0.63,1.03,3,13.86,16.1898,166755,143030,178645,178.645,202211,1.724,1.724,15.42,52.2,3.7,4.3,4,4.7,---,---,0.4,46.3,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:36:44,3,0.64,1.03,3,13.9,16.087,165696,142154,177551,177.551,200926,1.75,1.75,15.44,52.2,3.7,4.3,4,4.7,---,---,0.4,44.6,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:37:44,3,0.67,1.03,3,13.84,16.1043,165874,142570,178069,178.069,201142,1.74,1.74,15.44,52.2,3.7,4.3,4,4.7,---,---,0.4,42.9,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:38:44,3,0.72,1.04,4,13.77,16.0985,166942,142829,178394,178.394,201071,1.705,1.705,15.36,52.4,3.7,4.3,4,4.7,---,---,0.3,41.4,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:39:44,3,0.71,1.03,3,13.75,16.1184,166772,142930,178519,178.519,201319,1.684,1.684,15.34,52.4,3.7,4.3,4,4.7,---,---,0.4,40.3,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:40:44,3,0.66,1.03,3,13.77,16.0761,165584,142220,177633,177.633,200791,1.687,1.687,15.46,52.4,3.7,4.3,4,4.7,---,---,0.4,39.6,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:41:44,3,0.69,1.03,3,13.66,16.2609,167815,144053,179922,179.922,203098,1.688,1.688,15.66,52,3.8,4.3,4.1,4.7,---,---,0.4,39.4,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:42:44,3,0.72,1.04,4,13.58,16.3425,169962,145012,181120,181.12,204118,1.713,1.713,15.65,52,3.8,4.4,4.1,4.7,---,---,0.3,40,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:43:44,3,0.74,1.04,4,13.54,16.2336,168829,144182,180083,180.083,202758,1.7,1.7,15.44,52.3,3.7,4.3,4.1,4.7,---,---,0.4,38.9,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:44:44,3,0.78,1.04,4,13.43,16.2353,168847,144517,180502,180.502,202779,1.648,1.648,15.37,52.5,3.7,4.3,4,4.7,---,---,0.4,37.5,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:45:44,3,0.73,1.04,4,13.62,16.1138,167343,143064,178688,178.687,201262,1.63,1.63,15.37,52.5,3.7,4.3,4,4.6,---,---,0.4,37.7,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:46:44,3,0.69,1.03,3,13.94,15.7854,162590,139848,174670,174.67,197160,1.673,1.673,15.65,52.3,3.7,4.3,4,4.7,---,---,0.4,37,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:47:44,3,0.68,1.03,3,14.55,14.5503,149868,128871,160960,160.96,181733,1.542,1.542,16.83,51.8,3.7,4.2,4,4.6,---,---,0.4,36.8,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:48:44,3,0.7,1.03,3,15.28,13.0922,135040,116030,144921,144.921,163521,1.39,1.39,17.51,52,3.5,4,3.9,4.4,---,---,0.5,36.7,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:49:44,3,0.76,1.04,4,15.6,12.5069,130072,111196,138884,138.884,156211,1.337,1.337,17.97,51.8,3.5,4,3.8,4.4,---,---,0.5,36,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:50:44,3,0.77,1.04,4,15.83,12.1678,126545,108231,135180,135.18,151976,1.29,1.29,18.17,51.8,3.5,4,3.8,4.4,---,---,0.4,35.7,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:51:44,3,0.73,1.04,4,16.04,11.9304,123977,105914,132287,132.287,149011,1.272,1.272,18.17,51.9,3.4,3.9,3.8,4.3,---,---,0.4,35.3,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:52:44,3,0.7,1.03,3,16.18,11.8089,121710,104667,130730,130.73,147493,1.291,1.291,18.22,51.8,3.4,3.9,3.8,4.3,---,---,0.4,34.6,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:53:44,3,0.74,1.04,4,16.15,12.0467,125286,106999,133641,133.641,150463,1.36,1.36,17.54,52.2,3.4,3.9,3.7,4.3,---,---,0.5,34,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:54:44,3,0.73,1.04,4,15.73,12.9665,134851,115116,143780,143.78,161951,1.474,1.474,16.41,52.7,3.4,3.9,3.7,4.3,---,---,0.5,33.7,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:55:44,3,0.73,1.04,4,15.12,13.9349,144923,123694,154494,154.494,174047,1.481,1.481,15.58,53.2,3.4,4,3.7,4.3,---,---,0.4,32.8,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:56:44,3,0.78,1.04,4,14.56,15.035,156364,133788,167101,167.101,187787,1.501,1.501,16.48,51.7,3.7,4.2,4,4.6,---,---,0.4,33,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:57:44,3,0.81,1.04,4,14.92,16.1061,167503,143521,179258,179.258,201165,1.881,1.881,21.08,45.2,4.5,5,5,5.5,---,---,0.5,33.2,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:58:44,3,0.87,1.04,4,16.27,13.86,144291,123902,154753,154.753,173112,2.171,2.171,21.93,44.9,4.4,4.9,4.9,5.4,---,---,0.5,32.3,100,4,---,---,---,---,---,---,48,1
10.02.2025,14:59:44,3,0.95,1.05,5,17.88,11.0147,115655,98862,123478,123.478,137574,2.412,2.412,20.37,47.4,3.9,4.5,4.4,4.9,---,---,0.5,33.5,100,4,---,---,---,---,---,---,48,1
10.02.2025,15:00:44,3,1.08,1.05,5,18.92,9.1691,96642,82824,103447,103.447,114522,2.546,2.546,18.51,49.8,3.5,4.1,3.9,4.5,---,---,0.5,33.5,100,4,---,---,---,---,---,---,48,1
10.02.2025,15:01:44,3,1.18,1.06,6,19.62,8.14,86284,73906,92308,92.308,101669,2.589,2.589,16.95,51.5,3.2,3.8,3.6,4.2,---,---,0.5,37.7,100,4,---,---,---,---,---,---,48,1
