Time,,,Time(Min),Sensor 1,Sensor 2,Sensor 3,Sensor 4,B005.AQ,B017.Ax,B033.AQ,B007.Ax,,
10/02/2025 10:57,10/02/2025 10:57,00:00:00,0,1,1,1,1,900,522,273,4,,
10/02/2025 10:58,10/02/2025 10:57,00:01:01,1.016666667,1,1,1,1,900,524,289,4,,
10/02/2025 10:59,10/02/2025 10:57,00:02:02,2.033333333,1,1,1,1,900,524,289,4,,
10/02/2025 11:01,10/02/2025 10:57,00:03:03,3.05,1,1,1,1,900,523,288,4,,
10/02/2025 11:02,10/02/2025 10:57,00:04:04,4.066666667,1,1,1,1,900,524,276,4,,
10/02/2025 11:03,10/02/2025 10:57,00:05:05,5.083333333,1,1,1,1,900,524,276,4,,
10/02/2025 11:04,10/02/2025 10:57,00:06:06,6.1,10,12,11,11,0,520,271,13,,
10/02/2025 11:06,10/02/2025 10:57,00:08:08,8.133333333,11,12,12,12,900,519,272,14,,
10/02/2025 11:07,10/02/2025 10:57,00:09:09,9.15,11,12,12,12,900,519,272,14,,
10/02/2025 11:09,10/02/2025 10:57,00:11:11,11.18333333,12,13,13,13,900,518,272,15,,
10/02/2025 11:10,10/02/2025 10:57,00:12:12,12.2,12,14,14,14,900,519,273,15,,
10/02/2025 11:11,10/02/2025 10:57,00:13:13,13.21666667,13,14,14,14,900,519,273,16,,
10/02/2025 11:12,10/02/2025 10:57,00:14:14,14.23333333,13,15,15,15,900,518,272,16,,
10/02/2025 11:13,10/02/2025 10:57,00:15:15,15.25,13,15,15,15,900,519,272,17,,
10/02/2025 11:14,10/02/2025 10:57,00:16:16,16.26666667,14,16,16,16,900,519,272,17,,
10/02/2025 11:15,10/02/2025 10:57,00:17:17,17.28333333,14,16,16,16,900,518,271,18,,
10/02/2025 11:16,10/02/2025 10:57,00:18:18,18.3,15,17,17,17,900,519,272,18,,
10/02/2025 11:17,10/02/2025 10:57,00:19:19,19.31666667,15,17,17,17,900,518,271,19,,
10/02/2025 11:18,10/02/2025 10:57,00:20:20,20.33333333,15,18,18,18,900,518,271,19,,
10/02/2025 11:20,10/02/2025 10:57,00:22:22,22.36666667,14,18,18,18,900,521,288,18,,
10/02/2025 11:21,10/02/2025 10:57,00:23:23,23.38333333,15,18,18,18,900,522,290,19,,
10/02/2025 11:23,10/02/2025 10:57,00:25:25,25.41666667,14,18,18,18,900,521,274,18,,
10/02/2025 11:24,10/02/2025 10:57,00:26:26,26.43333333,15,19,19,18,900,521,274,19,,
10/02/2025 11:25,10/02/2025 10:57,00:27:27,27.45,15,19,19,19,900,521,274,18,,
10/02/2025 11:26,10/02/2025 10:57,00:28:28,28.46666667,15,19,19,19,900,521,274,19,,
10/02/2025 11:27,10/02/2025 10:57,00:29:29,29.48333333,15,19,19,19,2000,522,275,19,,
10/02/2025 11:28,10/02/2025 10:57,00:30:30,30.5,16,20,20,19,2000,522,275,20,,
10/02/2025 11:29,10/02/2025 10:57,00:31:31,31.51666667,16,20,20,19,2000,520,273,20,,
10/02/2025 11:30,10/02/2025 10:57,00:32:32,32.53333333,16,20,20,19,2000,519,272,20,,
10/02/2025 11:31,10/02/2025 10:57,00:33:33,33.55,16,20,21,20,2000,520,273,20,,
10/02/2025 11:32,10/02/2025 10:57,00:34:34,34.56666667,17,21,21,20,2000,521,274,21,,
10/02/2025 11:34,10/02/2025 10:57,00:36:36,36.6,17,21,21,21,5000,521,274,21,,
10/02/2025 11:35,10/02/2025 10:57,00:37:37,37.61666667,17,21,21,21,5000,521,274,21,,
10/02/2025 11:37,10/02/2025 10:57,00:39:39,39.65,17,21,21,21,5000,522,289,21,,
10/02/2025 11:38,10/02/2025 10:57,00:40:40,40.66666667,17,21,22,21,5000,522,289,21,,
10/02/2025 11:39,10/02/2025 10:57,00:41:41,41.68333333,17,21,22,21,5000,523,290,21,,
10/02/2025 11:40,10/02/2025 10:57,00:42:42,42.7,17,21,22,21,2000,523,291,21,,
10/02/2025 11:41,10/02/2025 10:57,00:43:43,43.71666667,17,21,22,21,2000,523,292,21,,
10/02/2025 11:42,10/02/2025 10:57,00:44:44,44.73333333,17,21,22,21,2000,523,292,21,,
10/02/2025 12:12,10/02/2025 10:57,01:14:11,74.18333333,1,1,1,1,2000,528,266,4,,
10/02/2025 12:13,10/02/2025 10:57,01:15:12,75.2,1,1,1,1,5000,531,279,4,,
10/02/2025 12:14,10/02/2025 10:57,01:16:13,76.21666667,1,1,1,1,5000,531,279,4,,
10/02/2025 12:15,10/02/2025 10:57,01:17:14,77.23333333,1,1,1,1,5000,532,271,4,,
10/02/2025 12:16,10/02/2025 10:57,01:18:15,78.25,1,1,1,1,5000,534,272,4,,
10/02/2025 12:17,10/02/2025 10:57,01:19:16,79.26666667,1,1,1,1,0,536,274,4,,
10/02/2025 12:18,10/02/2025 10:57,01:20:17,80.28333333,1,1,1,1,5000,533,271,4,,
10/02/2025 12:20,10/02/2025 10:57,01:22:19,82.31666667,1,1,1,1,5000,533,271,4,,
10/02/2025 12:21,10/02/2025 10:57,01:23:20,83.33333333,0,1,1,1,5000,533,272,4,,
10/02/2025 12:23,10/02/2025 10:57,01:25:22,85.36666667,1,1,1,1,5000,533,272,4,,
10/02/2025 12:24,10/02/2025 10:57,01:26:23,86.38333333,1,1,1,1,5000,533,271,4,,
10/02/2025 12:25,10/02/2025 10:57,01:27:24,87.4,1,1,1,1,5000,533,271,4,,
10/02/2025 12:26,10/02/2025 10:57,01:28:25,88.41666667,1,1,1,1,5000,534,273,4,,
10/02/2025 12:27,10/02/2025 10:57,01:29:26,89.43333333,1,1,1,1,5000,534,273,4,,
10/02/2025 12:28,10/02/2025 10:57,01:30:27,90.45,1,1,1,1,5000,534,273,4,,
10/02/2025 12:29,10/02/2025 10:57,01:31:28,91.46666667,10,12,12,12,0,523,267,17,,
10/02/2025 12:30,10/02/2025 10:57,01:32:29,92.48333333,10,12,12,12,5000,523,269,17,,
10/02/2025 12:31,10/02/2025 10:57,01:33:30,93.5,10,12,12,12,5000,523,269,17,,
10/02/2025 12:32,10/02/2025 10:57,01:34:31,94.51666667,10,13,13,13,5000,522,268,20,,
10/02/2025 12:34,10/02/2025 10:57,01:36:33,96.55,11,16,17,20,5000,522,268,65,,Ignition started
10/02/2025 12:35,10/02/2025 10:57,01:37:34,97.56666667,11,19,21,24,5000,522,269,83,,
10/02/2025 12:37,10/02/2025 10:57,01:39:36,99.6,12,26,30,37,5000,522,270,118,,
10/02/2025 12:38,10/02/2025 10:57,01:40:37,100.6166667,12,31,36,44,5000,519,269,134,,
10/02/2025 12:39,10/02/2025 10:57,01:41:38,101.6333333,13,37,43,52,5000,520,270,154,,
10/02/2025 12:40,10/02/2025 10:57,01:42:39,102.65,13,45,52,62,5000,514,272,180,,
10/02/2025 12:41,10/02/2025 10:57,01:43:40,103.6666667,14,55,62,74,5000,510,275,209,,
10/02/2025 12:42,10/02/2025 10:57,01:44:41,104.6833333,15,67,75,89,5000,515,280,255,,
10/02/2025 12:43,10/02/2025 10:57,01:45:42,105.7,16,82,91,107,5000,510,276,308,,
10/02/2025 12:44,10/02/2025 10:57,01:46:43,106.7166667,17,104,116,132,700,490,272,364,,
10/02/2025 12:45,10/02/2025 10:57,01:47:44,107.7333333,18,142,152,165,700,485,267,413,,
10/02/2025 12:46,10/02/2025 10:57,01:48:45,108.75,20,188,195,202,700,481,269,448,,
10/02/2025 12:48,10/02/2025 10:57,01:50:47,110.7833333,22,256,256,261,700,502,287,442,,
10/02/2025 12:49,10/02/2025 10:57,01:51:48,111.8,24,267,269,275,700,509,277,409,,
10/02/2025 12:51,10/02/2025 10:57,01:53:50,113.8333333,32,273,279,286,700,512,279,355,,
10/02/2025 12:52,10/02/2025 10:57,01:54:51,114.85,37,274,279,287,700,513,269,334,,
10/02/2025 12:53,10/02/2025 10:57,01:55:52,115.8666667,44,273,278,285,700,514,270,316,,
10/02/2025 12:54,10/02/2025 10:57,01:56:53,116.8833333,52,272,276,284,700,512,271,301,,
10/02/2025 12:55,10/02/2025 10:57,01:57:54,117.9,62,269,274,281,700,512,270,290,,
10/02/2025 12:56,10/02/2025 10:57,01:58:55,118.9166667,73,266,270,278,700,512,270,279,,
10/02/2025 12:57,10/02/2025 10:57,01:59:56,119.9333333,87,263,267,274,700,511,270,270,,
10/02/2025 12:58,10/02/2025 10:57,02:00:57,120.95,103,261,264,271,700,513,271,263,,
10/02/2025 12:59,10/02/2025 10:57,02:01:59,121.9833333,119,259,262,268,700,513,271,262,,
10/02/2025 13:00,10/02/2025 10:57,02:02:59,122.9833333,134,258,259,267,700,513,272,257,,
