Record,Date,LOC Time,Temperature_Heat_Exchanger,Temperature_Dryer,Phi_Motor_Position,West_Theta_Motor_Position,East_Theta_Motor_Position,Chosen_Phi_Destination,Chosen_Theta_Destination,Delta_Phi,Delta_Theta,Phi_Destination,Theta_Destination_C,Delta_Theta_Destination
1,03/07/2025,10:02:14,80.00,53.00,26860.00,19112.00,19132.50,37.17,57.09,0.00,-1.00,26734.07,19195.46,0.00
2,03/07/2025,10:04:14,85.00,56.00,26701.60,19215.00,19131.00,37.70,56.99,0.00,-1.00,26634.24,19221.49,0.00
3,03/07/2025,10:06:14,89.00,59.00,26589.80,19215.00,19233.70,38.23,56.90,0.00,-1.00,26534.28,19247.32,0.00
4,03/07/2025,10:08:14,91.00,62.00,26419.40,19419.00,19397.50,38.76,56.30,0.00,-1.50,26434.18,19409.01,0.00
5,03/07/2025,10:10:14,92.00,64.00,26141.80,20301.50,20386.40,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
6,03/07/2025,10:12:14,85.00,64.00,26132.40,26245.00,26230.40,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
7,03/07/2025,10:14:14,77.00,63.00,26123.70,26243.30,26230.00,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
8,03/07/2025,10:16:14,70.00,61.00,26116.30,26238.80,26229.40,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
9,03/07/2025,10:18:14,64.00,59.00,26133.30,26245.00,26229.90,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
10,03/07/2025,10:20:14,59.00,57.00,26133.10,26245.00,26229.40,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
11,03/07/2025,10:22:14,55.00,55.00,26125.00,26245.00,26229.00,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
12,03/07/2025,10:24:14,52.00,53.00,26133.00,26239.10,26228.80,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
13,03/07/2025,10:26:14,49.00,52.00,26135.10,26240.10,26228.10,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
14,03/07/2025,10:28:14,47.00,50.00,26122.70,26245.00,26228.00,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
15,03/07/2025,10:30:14,45.00,49.00,26124.70,26238.40,26227.60,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
16,03/07/2025,10:32:14,44.00,47.00,26124.10,26245.00,26227.60,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
17,03/07/2025,10:34:14,42.00,46.00,26118.60,26245.00,26227.00,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
18,03/07/2025,10:36:14,41.00,45.00,26119.60,26231.70,26226.20,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
19,03/07/2025,10:38:14,41.00,44.00,26112.40,26245.00,26225.60,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
20,03/07/2025,10:40:14,40.00,43.00,26118.00,26245.00,26225.20,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
21,03/07/2025,10:42:14,39.00,42.00,26118.70,26245.00,26225.20,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
22,03/07/2025,10:44:14,39.00,41.00,26120.60,26239.10,26224.80,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
23,03/07/2025,10:46:14,38.00,41.00,26123.20,26237.60,26224.10,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
24,03/07/2025,10:48:14,38.00,40.00,26118.60,26244.40,26223.80,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
25,03/07/2025,10:50:14,37.00,40.00,26120.20,26243.30,26224.00,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
26,03/07/2025,10:52:14,37.00,39.00,26123.30,26234.70,26223.80,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
27,03/07/2025,10:54:14,37.00,39.00,26117.20,26239.30,26223.00,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
28,03/07/2025,10:56:14,36.00,38.00,26125.20,26232.30,26223.00,40.00,28.50,0.00,-1.50,26201.00,26239.31,0.00
29,03/07/2025,10:58:14,37.00,38.00,23882.20,20034.00,20060.00,52.30,54.20,0.00,-1.50,23888.17,19975.17,0.00
30,03/07/2025,11:00:14,42.00,39.00,23890.70,20034.00,20018.70,52.85,54.13,0.00,-1.50,23784.65,19994.71,0.00
31,03/07/2025,11:02:14,47.00,40.00,23754.00,20034.00,20018.20,53.40,54.06,0.00,-1.50,23681.00,20013.98,0.00
